Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0.1531, , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , ,
0.1535, , , , , , , , , ,52.381, , , , , , , , , , , , , , , , , , , , , ,
0.1537, , , , , , , , , , , , , , , , , ,64.7059, , , , , , , , , , , , , ,
0.154, , , , , , ,33, , , , , ,53.3333, , , , , , , , , , , , , , , , , , ,
0.1541, , , , , ,90.4255, , ,20.2899,51.1905, , , , , , , , , , , , , ,47.0588, , , , , , , ,
0.1555, , , , , ,91.4894, , , ,52.381, , , , , , , , , , , , , , , , , , , , , ,
0.1562, , , , , ,90.4255, , , ,51.1905, , , ,35.2941, , , , , , , , , , , , , , , , , ,
0.1575, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,37.7358, , ,
0.1578, , , , , , , , , ,52.381, , , , , , , , , , , , , , , , , , , , , ,
0.158, , , , , , , , , , , , , , ,6.1538, , , , , , , , , , , , , , , , ,
0.1582, , , , , , ,32, , , , , ,52.2222, , , , , , , , , , , , , , , ,35.8491, , ,
0.1587, , , , , , , , , , , , ,54.4444, ,7.6923, , , , , , , , , , , , , , , , ,
0.1603, , , , , , , , , , , , ,53.3333, , , , , , , , , , , , , , , , , , ,
