Time (min),CLK/CYC_ODE,CLK_ODE,clk_ODE,CRY_ODE,CWO_ODE,cwo_ODE,PDP1_ODE,pdp1_ODE,PER/TIM_ODE,PER_ODE,per_ODE,TIM_ODE,tim_ODE,VRI_ODE,vri_ODE,
564.701,60.5353,48.61,73.181,4.4507,87.4445,84.6081,100,95.1695,99.2381,96.4335,67.7642,96.8021,84.9739,97.9216,83.347,
565.7681,60.535,48.6104,73.1813,4.4504,87.4449,84.6077,100,95.1693,99.2382,96.4333,67.7639,96.802,84.9736,97.9217,83.3467,
567.9024,60.5346,48.6109,73.1817,4.4502,87.4452,84.6073,100,95.1691,99.2383,96.4332,67.7635,96.8019,84.9733,97.9219,83.3464,
574.3051,60.5342,48.6113,73.1821,4.4499,87.4456,84.607,100,95.1689,99.2384,96.433,67.7632,96.8017,84.973,97.922,83.3461,
575.3723,60.5339,48.6117,73.1825,4.4497,87.4459,84.6066,100,95.1688,99.2385,96.4329,67.7628,96.8016,84.9727,97.9221,83.3458,
578.0715,60.5335,48.6122,73.1829,4.4494,87.4463,84.6062,100,95.1686,99.2385,96.4327,67.7625,96.8015,84.9724,97.9223,83.3455,
582.5911,60.5332,48.6126,73.1833,4.4491,87.4466,84.6058,100,95.1684,99.2386,96.4325,67.7621,96.8013,84.9721,97.9224,83.3452,
588.68,60.5314,48.6148,73.1853,4.4479,87.4484,84.6039,100,95.1675,99.2391,96.4317,67.7604,96.8007,84.9706,97.923,83.3436,
591.3793,60.5295,48.617,73.1872,4.4466,87.4502,84.602,100,95.1666,99.2395,96.4309,67.7586,96.8,84.9692,97.9237,83.3421,
591.8814,60.5277,48.6191,73.1892,4.4454,87.4519,84.6001,100,95.1656,99.2399,96.4301,67.7569,96.7993,84.9677,97.9243,83.3406,
598.2842,60.5259,48.6213,73.1912,4.4441,87.4537,84.5983,100,95.1647,99.2404,96.4293,67.7551,96.7986,84.9662,97.925,83.3391,
607.3235,60.5169,48.6322,73.201,4.4379,87.4625,84.5888,100,95.1602,99.2425,96.4253,67.7464,96.7953,84.9589,97.9282,83.3315,
